Date,US,EU,EM,Tech,EU HY,Me A Ee
2023-01-31,166.67,17.4,183.29,34.18,211.6,100.0
2023-02-01,168.34,17.43,186.87,34.22,211.9,99.77
2023-02-02,170.73,17.72,188.75,35.84,213.97,100.28
2023-02-03,171.26,17.79,186.54,35.9,214.39,100.28
2023-02-06,171.76,17.57,183.19,35.39,214.17,99.97
2023-02-07,172.33,17.59,185.33,35.46,214.21,100.19
2023-02-08,174.23,17.59,185.24,35.51,214.27,99.87
2023-02-09,173.43,17.76,185.86,35.62,214.59,99.5
2023-02-10,172.18,17.56,185.46,35.08,213.96,99.5
2023-02-13,173.8,17.74,185.57,35.26,213.72,100.14
2023-02-14,173.65,17.73,186.15,35.14,213.67,99.75
2023-02-15,173.85,17.9,184.01,35.58,213.47,99.8
2023-02-16,173.24,17.98,183.86,35.67,213.56,99.79
2023-02-17,172.16,17.88,182.73,34.83,213.11,99.79
2023-02-20,172.16,17.87,182.91,34.95,213.08,99.28
2023-02-21,170.94,17.78,181.92,34.39,212.18,98.59
2023-02-22,169.76,17.75,179.82,34.3,211.51,98.35
2023-02-23,171.33,17.84,182.47,34.37,212.23,98.54
2023-02-24,169.61,17.48,180.07,34.25,212.09,98.54
2023-02-27,171.12,17.77,178.74,34.43,212.19,97.57
2023-02-28,169.07,17.73,178.12,34.38,211.83,97.67
2023-03-01,168.33,17.63,178.55,34.23,211.85,98.72
2023-03-02,168.32,17.74,178.46,34.42,211.43,98.93
2023-03-03,170.93,17.96,178.58,35.17,211.82,98.93
2023-03-06,172.51,18.04,178.8,35.45,212.7,99.73
2023-03-07,172.18,17.9,178.33,35.11,212.97,99.5
2023-03-08,171.63,17.94,178.21,35.27,212.78,99.54
2023-03-09,172.17,17.93,175.83,35.18,212.5,99.37
2023-03-10,165.66,17.69,171.23,34.12,211.65,99.37
2023-03-13,163.95,17.13,171.75,33.53,210.43,96.76
2023-03-14,166.27,17.48,169.19,34.08,210.38,96.09
2023-03-15,166.62,16.87,170.44,33.92,208.68,95.85
2023-03-16,168.48,17.22,169.25,34.72,208.53,95.04
2023-03-17,168.09,17.0,170.47,34.48,208.12,95.04
2023-03-20,167.28,17.23,168.9,34.32,206.28,94.9
2023-03-21,167.95,17.49,170.66,34.59,208.55,95.5
2023-03-22,168.83,17.56,171.83,34.59,209.21,96.54
2023-03-23,167.86,17.61,172.12,34.58,209.09,96.79
2023-03-24,167.17,17.3,172.84,34.51,208.25,96.79
2023-03-27,169.15,17.44,171.67,34.39,207.22,97.18
2023-03-28,167.24,17.46,173.88,34.2,208.58,97.72
2023-03-29,168.65,17.72,175.01,34.78,209.01,97.72
2023-03-30,169.22,17.95,175.46,35.17,209.95,98.28
2023-03-31,170.38,18.11,175.39,35.59,210.32,98.28
2023-04-03,172.06,18.07,175.86,35.37,210.77,99.44
2023-04-04,172.44,18.08,175.46,35.11,210.97,100.09
2023-04-05,170.25,18.05,176.03,34.72,210.48,99.6
2023-04-06,170.1,18.07,176.86,34.76,211.66,99.75
2023-04-07,170.1,18.1,176.86,34.91,211.66,99.75
2023-04-10,170.1,18.07,176.86,34.86,211.66,99.75
2023-04-11,170.83,18.17,179.29,34.79,210.59,99.73
2023-04-12,170.54,18.18,179.8,34.47,210.76,99.81
2023-04-13,168.89,18.3,177.79,34.5,211.07,99.66
2023-04-14,171.68,18.45,179.02,34.63,211.39,99.66
2023-04-17,172.33,18.36,180.17,34.86,211.42,101.2
2023-04-18,172.71,18.43,179.45,34.74,211.76,101.26
2023-04-19,172.02,18.43,176.77,34.6,211.56,100.68
2023-04-20,171.77,18.39,177.15,34.47,211.55,100.68
2023-04-21,171.73,18.49,176.43,34.35,209.58,100.68
