Date,US,EU,EM,Tech,EU HY,Me A Ee
2023-01-31,166.67,17.4,183.29,34.18,211.6,100.0
2023-02-28,169.07,17.73,178.12,34.38,211.83,97.67
2023-03-31,170.38,18.11,175.39,35.59,210.32,98.28
2023-04-30,171.79,18.41,175.46,34.11,211.96,101.02
2023-05-31,181.68,18.01,180.31,36.56,214.0,99.17
2023-06-30,187.19,18.79,187.7,37.6,214.54,102.08
2023-07-31,190.97,19.12,190.4,38.87,216.41,108.33
2023-08-31,194.0,18.38,184.49,38.37,217.68,106.27
2023-09-30,190.83,17.9,191.16,37.83,218.34,104.58
2023-10-31,184.45,17.39,189.16,36.25,217.26,101.69
2023-11-30,196.25,18.79,201.66,40.03,223.75,105.06
2023-12-31,202.21,19.44,204.02,42.33,230.18,106.99
2024-01-31,213.3,20.09,195.24,43.07,233.5,109.26
2024-02-29,225.2,21.09,198.72,44.86,233.27,112.16
2024-03-31,234.48,22.04,203.14,46.22,233.55,112.7
2024-04-30,232.58,21.51,209.94,45.18,233.43,114.36
2024-05-31,235.57,22.0,210.86,45.72,235.6,110.75
2024-06-30,252.25,21.61,210.59,48.93,236.83,117.6
2024-07-31,246.38,21.5,210.5,48.89,240.03,119.33
2024-08-31,246.5,21.9,206.13,48.17,242.82,118.45
2024-09-30,247.91,22.11,222.59,48.85,245.78,119.03
2024-10-31,258.36,21.4,213.16,49.51,246.67,118.63
2024-11-30,279.28,21.34,209.99,52.28,248.51,122.56
2024-12-31,273.87,21.74,211.98,52.79,250.44,127.8
2025-01-31,281.8,23.5,218.06,54.56,252.13,132.51
2025-02-28,269.35,24.3,230.03,53.33,254.59,133.59
2025-03-31,241.11,23.37,229.35,48.39,251.91,133.42
2025-04-30,224.09,23.12,216.75,46.21,251.91,126.83
2025-05-31,245.0,24.34,216.37,50.0,255.46,130.51
2025-06-30,251.26,24.09,222.0,51.67,256.81,131.79
2025-07-31,266.44,24.25,237.49,54.09,259.76,138.04
2025-08-31,261.42,24.3,236.86,53.32,259.32,139.41
2025-09-30,264.86,25.16,244.72,56.38,262.04,143.97
2025-10-31,276.44,25.78,258.65,59.58,263.25,146.26
2025-11-30,272.98,25.82,259.84,56.99,263.21,144.35
2025-12-31,272.43,26.42,267.15,58.06,264.19,149.32
2026-01-31,268.94,27.15,283.8,59.0,266.37,160.69
2026-02-28,263.86,28.09,291.9,58.02,266.89,163.33
2026-03-31,253.22,25.53,258.72,55.18,259.63,149.4
2026-04-30,277.49,27.14,274.53,62.6,264.58,154.19
2026-05-31,291.37,28.16,289.64,68.28,266.74,157.76
2026-06-30,295.43,29.5,290.49,65.52,268.35,154.72
2026-07-31,292.82,29.55,300.55,64.92,267.13,157.37
2026-08-31,293.9,29.73,292.9,68.04,268.41,167.89
2026-09-30,292.11,29.45,291.62,67.53,267.7,166.76
