Date,US,EU,EM,Me A Ee
2026-07-08,293.54,28.84,299.74,155.15
2026-07-07,294.37,29.37,298.93,157.7
2026-07-06,295.41,29.79,301.26,158.16
2026-07-03,295.36,29.84,298.54,158.2
2026-07-02,295.36,29.57,293.93,157.46
2026-07-01,294.95,29.26,293.96,155.79
2026-06-30,295.43,29.5,290.49,154.72
2026-06-29,291.67,29.02,290.75,154.77
2026-06-26,288.04,28.95,285.73,155.16
2026-06-25,290.32,29.16,290.15,155.57
2026-06-24,293.31,28.9,293.28,156.27
2026-06-23,291.92,28.96,299.99,158.05
2026-06-22,296.73,29.37,299.99,159.59
2026-06-19,294.44,29.29,297.53,158.72
2026-06-18,294.44,29.43,298.39,160.39
2026-06-17,291.27,29.32,296.78,161.04
2026-06-16,291.79,29.12,294.77,160.75
2026-06-15,289.89,28.99,294.88,159.9
2026-06-12,284.03,28.78,287.49,157.09
2026-06-11,282.07,28.16,279.62,154.51
2026-06-10,284.26,27.95,280.84,153.53
2026-06-09,287.5,28.14,287.28,155.83
2026-06-08,286.33,28.19,278.9,154.31
2026-06-05,288.58,28.19,286.6,154.9
2026-06-04,288.72,28.4,290.51,156.26
2026-06-03,291.34,28.18,293.99,156.51
2026-06-02,291.45,28.43,296.98,157.01
2026-06-01,291.27,28.09,294.74,156.18
2026-05-31,291.37,28.16,289.64,157.76
2026-05-29,291.37,28.16,289.64,157.76
2026-05-28,288.74,28.16,289.47,157.11
2026-05-27,289.05,28.24,291.71,157.75
2026-05-26,289.13,28.22,290.71,157.72
2026-05-25,288.79,28.54,287.73,155.06
2026-05-22,288.79,27.99,287.73,155.06
2026-05-21,286.67,27.72,287.82,155.21
2026-05-20,285.53,27.8,283.55,154.2
2026-05-19,284.86,27.21,284.05,153.89
2026-05-18,286.51,27.2,283.39,154.83
2026-05-15,286.87,27.04,284.25,154.45
2026-05-14,287.71,27.55,287.93,156.96
2026-05-13,284.07,27.2,287.93,156.38
2026-05-12,282.62,26.95,289.73,156.01
2026-05-11,282.88,27.36,292.25,158.29
