Date,0P0001CRXW.F,0P00006DA4.F,0P0001722W.F,0P00015OFP.F,0P00000AV2.F,0P0001QEPX.F
2025-12-18,269.22,26.26,261.45,57.45,,148.02
2025-12-21,269.97,26.18,259.49,57.68,263.88,148.91
2025-12-22,270.8,26.21,260.03,57.51,264.01,149.2
2025-12-28,271.88,26.23,264.74,57.92,264.18,148.47
2025-12-29,272.51,26.43,266.53,58.09,264.24,148.63
2026-01-01,272.65,26.69,270.14,58.2,264.05,150.4
2026-01-04,273.5,27.05,273.85,59.58,264.68,151.28
2026-01-05,274.43,27.09,278.19,60.26,264.91,152.81
2026-01-06,275.99,27.05,278.04,60.42,265.24,153.18
2026-01-07,274.84,26.96,275.96,60.05,265.44,152.89
2026-01-08,276.63,27.39,276.23,60.73,265.57,154.21
2026-01-11,276.0,27.49,277.25,60.78,265.7,
2026-01-12,276.42,27.54,278.24,60.62,265.73,156.88
2026-01-13,273.98,27.43,279.91,59.82,,157.25
2026-01-14,,27.59,,60.78,265.81,
2026-01-15,275.81,,281.07,,,156.77
