date,US,EU,EM,Tech,EU HY
2026-01-16,275.81,27.53,281.07,60.5,265.81
2026-01-15,276.81,27.59,282.09,60.78,265.81
2026-01-14,273.98,27.43,279.91,59.82,265.79
2026-01-13,276.42,27.54,278.24,60.62,265.73
2026-01-12,276.0,27.49,277.25,60.78,265.7
2026-01-09,276.63,27.39,276.23,60.73,265.57
2026-01-08,274.84,26.96,275.96,60.05,265.44
2026-01-07,275.99,27.05,278.04,60.42,265.24
2026-01-06,274.43,27.09,278.19,60.26,264.91
2026-01-05,273.5,27.05,273.85,59.58,264.68
2026-01-02,272.65,26.69,270.14,58.2,264.05
2025-12-31,272.43,26.42,267.15,58.06,264.19
2025-12-30,272.51,26.43,266.53,58.09,264.24
2025-12-29,271.88,26.23,264.74,57.92,264.18
2025-12-26,270.8,26.2,260.03,57.98,263.99
2025-12-24,270.8,26.2,260.03,57.75,263.99
2025-12-23,270.8,26.21,260.03,57.51,264.01
2025-12-22,269.97,26.18,259.49,57.68,263.88
2025-12-19,269.22,26.26,261.45,57.45,263.84
2025-12-18,267.15,26.17,259.27,57.29,263.8
2025-12-17,267.29,25.88,260.61,56.82,263.69
2025-12-16,266.82,26.06,257.4,56.85,263.65
2025-12-15,268.45,26.21,261.01,57.21,263.55
2025-12-12,271.47,26.06,262.62,57.58,263.47
2025-12-11,270.09,26.21,260.04,58.03,263.41
2025-12-10,272.35,25.99,263.04,58.52,263.46
2025-12-09,273.25,26.04,261.13,58.55,263.57
2025-12-08,273.68,26.07,262.45,58.55,263.63
2025-12-05,273.45,26.06,263.9,58.56,263.67
2025-12-04,271.45,26.03,261.62,57.9,263.55
2025-12-03,271.03,25.93,261.54,57.68,263.49
2025-12-02,272.63,25.9,262.37,57.34,263.35
2025-12-01,271.84,25.81,259.69,57.04,263.22
2025-11-28,272.98,25.82,259.84,56.99,263.21
2025-11-27,272.32,25.75,259.89,56.63,263.05
2025-11-26,272.32,25.76,260.08,56.9,262.84
2025-11-25,268.91,25.39,257.75,56.45,262.68
2025-11-24,268.36,25.18,256.4,56.03,262.56
2025-11-21,264.95,25.08,253.98,55.37,262.25
2025-11-20,272.17,25.33,257.32,55.68,262.49
2025-11-19,267.96,25.21,255.35,55.85,262.15
2025-11-18,263.76,25.18,254.6,55.65,262.17
2025-11-17,269.67,25.67,260.37,56.94,262.55
2025-11-14,267.55,25.92,259.71,57.46,262.46
2025-11-13,271.45,26.15,263.42,57.51,262.94
2025-11-12,274.96,26.35,264.24,58.21,263.1
2025-11-11,272.9,26.07,264.66,58.07,262.91
2025-11-10,272.99,25.8,262.68,57.95,262.89
2025-11-07,267.8,25.36,259.14,56.62,262.64
2025-11-06,272.27,25.56,261.95,57.76,262.87
2025-11-05,275.1,25.83,258.56,58.89,262.9
2025-11-04,275.68,25.77,258.05,59.06,262.81
2025-11-03,276.34,25.86,259.65,59.83,263.03
2025-10-31,276.44,25.78,258.65,59.58,263.25
2025-10-30,275.87,25.96,257.37,59.42,263.32
2025-10-29,274.82,25.96,256.62,59.31,263.42
2025-10-28,273.82,25.95,253.82,59.3,263.26
2025-10-27,273.63,25.98,255.65,59.37,263.01
2025-10-24,272.4,25.82,256.05,59.03,262.53
2025-10-23,270.71,25.79,253.6,58.43,262.32
2025-10-22,271.49,25.66,253.36,58.41,261.98
2025-10-21,270.63,25.87,253.45,58.95,261.88
2025-10-20,268.51,25.83,252.05,58.5,261.64
2025-10-17,265.34,25.5,246.75,57.26,261.38
2025-10-16,267.64,25.71,248.97,57.75,261.73
2025-10-15,269.24,25.5,247.22,57.71,261.73
2025-10-14,265.93,25.26,242.75,57.28,260.71
2025-10-13,267.93,25.33,245.54,57.48,260.75
2025-10-10,271.52,25.17,248.23,56.93,260.93
2025-10-09,270.5,25.59,249.64,58.46,261.47
2025-10-08,268.79,25.71,247.78,58.54,262.8
2025-10-07,268.84,25.54,248.07,57.7,262.05
2025-10-06,266.93,25.61,247.91,58.04,262.16
2025-10-03,267.13,25.71,247.41,57.56,262.3
2025-10-02,266.73,25.69,247.66,57.44,262.44
2025-10-01,264.21,25.4,244.42,56.65,262.13
2025-09-30,264.86,25.16,244.72,56.38,262.04
2025-09-29,265.35,25.06,243.32,56.67,262.11
2025-09-26,266.02,25.02,239.89,56.14,261.95
2025-09-25,263.4,24.75,243.79,56.39,262.07
2025-09-24,265.12,24.84,245.55,56.21,262.26
2025-09-23,265.63,24.87,243.14,56.41,262.17
2025-09-22,265.21,24.8,244.8,55.69,262.07
2025-09-19,265.21,24.8,245.79,55.69,262.01
2025-09-18,264.28,24.79,246.45,55.88,261.85
2025-09-17,261.85,24.39,247.46,54.74,261.54
2025-09-16,263.1,24.41,244.13,54.3,261.49
2025-09-15,264.73,24.78,244.62,54.41,261.43
2025-09-12,265.17,24.5,245.04,54.21,261.2
2025-09-11,263.33,24.48,243.3,54.14,261.1
2025-09-10,263.48,24.37,244.22,53.92,260.99
2025-09-09,261.06,24.38,241.82,54.11,260.86
2025-09-08,260.59,24.34,239.67,53.83,260.83
2025-09-05,261.63,24.13,239.8,53.45,260.63
2025-09-04,261.84,24.26,237.05,53.51,260.21
2025-09-03,260.55,24.15,237.58,53.05,258.86
2025-09-02,259.06,23.99,236.81,52.54,260.22
2025-09-01,261.42,24.36,237.93,53.34,260.58
2025-08-29,261.42,24.3,236.86,53.32,259.32
2025-08-28,262.1,24.51,237.78,53.87,260.63
2025-08-27,263.42,24.49,237.79,53.87,260.63
2025-08-26,261.07,24.47,240.38,53.3,260.57
2025-08-25,260.92,24.73,242.33,53.6,260.61
2025-08-22,259.25,24.92,238.52,53.2,260.61
2025-08-21,258.89,24.81,236.99,52.55,261.85
2025-08-20,257.73,24.84,237.87,52.35,260.85
2025-08-19,260.09,24.91,237.88,53.12,261.02
2025-08-18,260.4,24.71,237.53,53.16,261.07
2025-08-15,260.15,24.78,238.15,53.09,261.03
2025-08-14,261.16,24.72,238.15,53.2,261.03
2025-08-13,260.73,24.51,238.52,53.1,260.88
2025-08-12,258.53,24.3,237.17,52.81,260.71
2025-08-11,259.07,24.28,237.87,52.85,260.59
2025-08-08,257.52,24.34,236.8,52.67,260.19
2025-08-07,258.6,24.27,237.6,52.56,260.16
2025-08-06,255.85,23.98,233.33,52.1,259.95
2025-08-05,259.34,23.92,235.42,52.23,259.86
2025-08-04,258.33,23.93,232.56,52.5,259.62
2025-08-01,255.23,23.54,231.43,52.03,259.55
2025-07-31,266.44,24.25,237.49,54.09,259.76
2025-07-30,263.62,24.58,239.32,54.18,259.57
2025-07-29,263.3,24.51,237.44,53.99,259.57
2025-07-28,261.32,24.34,236.55,53.72,259.46
2025-07-25,258.54,24.38,233.98,53.08,258.99
2025-07-24,257.36,24.39,235.08,53.1,258.94
2025-07-23,256.04,24.38,234.71,53.14,258.58
2025-07-22,256.05,24.09,230.63,52.89,258.35
2025-07-21,258.85,24.3,231.21,53.39,258.3
2025-07-18,258.31,24.36,230.13,53.34,258.17
2025-07-17,259.02,24.44,230.71,53.28,259.32
2025-07-16,257.13,24.08,231.23,52.4,257.95
2025-07-15,257.1,24.34,230.77,52.86,259.38
2025-07-14,255.14,24.4,229.38,52.42,258.1
2025-07-11,255.14,24.47,228.35,52.47,258.17
2025-07-10,255.13,24.72,228.45,52.83,258.2
2025-07-09,255.07,24.75,227.05,52.48,257.98
2025-07-08,253.98,24.41,228.05,52.68,258.92
2025-07-07,254.77,24.28,227.09,52.46,257.65
2025-07-04,253.49,24.06,226.74,52.34,257.48
2025-07-03,253.49,24.31,225.67,52.89,257.45
2025-07-02,251.31,24.19,224.42,52.12,257.14
2025-07-01,250.46,24.03,222.08,51.77,256.99
2025-06-30,251.26,24.09,222.0,51.67,256.81
2025-06-27,249.93,24.2,221.57,52.03,256.72
2025-06-26,247.76,23.79,220.67,51.6,256.78
2025-06-25,249.67,23.86,222.32,51.66,256.83
2025-06-24,247.88,24.13,221.53,51.68,256.85
2025-06-23,246.09,23.72,217.84,50.72,256.37
2025-06-20,246.61,23.77,217.84,50.93,256.37
2025-06-19,247.45,23.6,217.89,51.01,256.34
2025-06-18,247.45,23.91,220.11,51.54,256.61
2025-06-17,246.73,24.0,219.2,51.7,256.71
2025-06-16,246.5,24.24,217.42,51.47,256.74
2025-06-13,246.25,24.02,216.9,51.26,256.6
2025-06-12,246.02,24.33,219.19,51.59,256.98
2025-06-11,249.77,24.48,223.44,52.27,256.98
2025-06-10,249.38,24.58,222.9,52.45,256.84
2025-06-09,249.98,24.6,220.52,52.11,256.4
2025-06-06,250.76,24.63,220.52,51.85,256.4
2025-06-05,245.9,24.54,217.63,51.62,256.35
2025-06-04,248.12,24.51,217.99,50.9,256.13
2025-06-03,246.02,24.38,215.0,50.42,255.88
2025-06-02,242.46,24.3,213.2,49.68,256.81
2025-05-30,245.0,24.34,216.37,50.0,255.46
2025-05-29,246.29,24.35,217.62,50.27,255.99
2025-05-28,246.82,24.43,217.62,50.81,255.99
2025-05-27,243.82,24.56,215.95,50.6,254.55
2025-05-26,240.7,24.46,215.99,50.12,254.16
2025-05-23,240.7,24.15,214.69,49.55,254.16
2025-05-22,244.91,24.59,216.95,50.58,254.3
2025-05-21,246.21,24.72,218.22,50.97,254.49
2025-05-20,249.53,24.73,219.95,51.07,254.44
2025-05-19,249.15,24.6,222.66,51.12,254.24
2025-05-16,249.84,24.53,226.09,51.63,254.24
2025-05-15,247.81,24.45,226.09,51.5,254.1
2025-05-14,248.51,24.4,228.27,51.56,255.28
2025-05-13,249.42,24.44,229.45,51.79,254.24
2025-05-12,246.84,24.32,230.21,51.27,254.74
2025-05-09,238.53,23.92,222.54,48.72,252.74
2025-05-08,236.72,23.8,222.54,48.62,252.74
2025-05-07,234.54,23.54,221.59,47.6,252.4
2025-05-06,233.26,23.68,220.3,47.7,252.16
2025-05-05,235.67,23.76,220.92,48.02,251.92
2025-05-02,234.82,23.7,220.03,47.99,251.92
2025-05-01,233.74,23.12,216.75,47.43,251.91
2025-04-30,224.09,23.12,216.75,46.21,251.91
2025-04-29,226.4,23.13,215.81,46.09,252.4
2025-04-28,227.47,23.15,217.54,45.78,252.36
2025-04-25,225.7,23.07,214.72,45.77,252.06
2025-04-24,223.3,22.89,213.7,45.64,251.72
2025-04-23,224.99,22.78,216.4,44.94,251.46
2025-04-22,213.04,22.18,208.87,43.38,250.02
2025-04-21,218.54,22.02,209.12,42.23,249.79
2025-04-18,218.54,22.02,209.12,43.43,249.79
2025-04-17,218.54,22.02,209.12,43.52,249.79
2025-04-16,219.78,22.16,207.77,43.65,249.18
2025-04-15,226.07,22.21,210.22,44.63,248.99
2025-04-14,225.63,21.91,209.42,43.89,248.26
2025-04-11,219.89,21.36,203.94,42.84,247.65
2025-04-10,225.73,21.5,206.67,42.96,248.31
2025-04-09,214.89,20.6,199.14,41.35,245.4
2025-04-08,227.69,21.28,204.79,43.69,247.71
2025-04-07,214.91,20.73,206.72,42.6,246.05
2025-04-04,225.21,21.73,215.08,43.81,248.72
2025-04-03,233.23,22.79,223.2,46.14,251.14
2025-04-02,245.01,23.62,230.6,49.02,251.94
2025-04-01,244.93,23.69,231.11,49.18,251.94
2025-03-31,241.11,23.37,229.35,48.39,251.91
2025-03-28,245.24,23.74,231.49,49.08,252.24
2025-03-27,252.04,23.96,235.03,50.43,252.43
2025-03-26,253.28,24.09,234.06,50.72,252.78
2025-03-25,254.61,24.4,232.6,51.17,252.78
2025-03-24,254.19,24.09,234.02,51.06,252.78
2025-03-21,248.12,24.17,235.48,50.47,252.73
2025-03-20,251.24,24.22,237.67,50.59,252.74
2025-03-19,246.81,24.45,238.75,50.57,252.55
2025-03-18,244.8,24.36,236.32,50.09,253.36
2025-03-17,246.54,24.22,234.88,50.41,252.13
2025-03-14,246.37,24.0,232.12,50.01,251.72
2025-03-13,244.82,23.66,228.99,49.15,252.02
2025-03-12,243.58,23.8,228.19,49.73,252.32
2025-03-11,241.98,23.62,229.6,49.2,252.65
2025-03-10,246.06,23.97,232.9,50.38,252.26
2025-03-07,252.28,24.34,233.09,50.86,252.26
2025-03-06,253.94,24.57,233.01,51.67,252.34
2025-03-05,256.23,24.44,228.8,51.6,254.16
2025-03-04,261.47,23.96,226.95,51.84,255.54
2025-03-03,270.17,24.64,229.3,53.49,255.75
2025-02-28,269.35,24.3,230.03,53.33,254.59
2025-02-27,271.78,24.33,235.57,54.08,255.56
