Date,US,EU,EM,Tech,EU HY,Me A Ee
2023-01-02,161.95,16.11,166.81,30.9,204.22,
2023-02-01,168.34,17.43,186.87,34.22,211.9,99.77
2023-03-01,168.33,17.63,178.55,34.23,211.85,98.72
2023-04-03,172.06,18.07,175.86,35.37,210.77,99.44
2023-05-01,173.32,18.39,175.46,34.3,211.96,101.02
2023-06-01,180.65,18.18,180.03,36.81,213.42,99.02
2023-07-03,187.22,18.79,189.86,37.76,214.92,103.7
2023-08-01,191.93,18.84,188.94,38.88,216.7,108.08
2023-09-01,194.17,18.32,187.5,38.79,217.72,106.27
2023-10-02,189.98,17.71,191.14,37.93,218.48,104.85
2023-11-01,188.5,17.53,189.16,36.52,217.26,102.98
2023-12-01,197.76,18.94,202.77,40.59,224.27,105.06
2024-01-02,201.78,19.42,205.56,42.17,230.36,108.26
2024-02-01,214.07,20.05,196.86,42.89,231.98,110.43
2024-03-01,227.22,21.18,199.49,45.23,233.46,112.73
2024-04-01,234.48,22.04,203.14,46.36,233.55,112.7
2024-05-01,229.2,21.35,209.94,44.66,233.43,114.36
2024-06-03,237.83,22.09,213.84,46.3,236.3,112.43
2024-07-01,248.58,21.77,210.26,48.66,237.31,116.96
2024-08-01,250.69,21.02,210.91,48.21,240.22,119.57
2024-09-02,246.5,21.96,205.23,48.25,242.93,119.13
2024-10-01,249.9,21.9,223.26,48.84,246.08,119.16
2024-11-01,260.44,21.62,213.16,49.94,246.67,119.28
2024-12-02,282.33,21.54,213.39,53.05,248.66,124.17
2025-01-02,276.77,21.86,212.27,53.13,250.62,129.03
2025-02-03,277.38,23.19,217.25,54.03,251.96,131.81
2025-03-03,270.17,24.64,229.3,53.49,255.75,133.55
2025-04-01,244.93,23.69,231.11,49.18,251.94,133.42
2025-05-01,233.74,23.12,216.75,47.43,251.91,126.83
2025-06-02,242.46,24.3,213.2,49.68,256.81,129.41
2025-07-01,250.46,24.03,222.08,51.77,256.99,131.59
2025-08-01,255.23,23.54,231.43,52.03,259.55,135.54
2025-09-01,261.42,24.36,237.93,53.34,260.58,138.94
2025-10-01,264.21,25.4,244.42,56.65,262.13,145.45
2025-11-03,276.34,25.86,259.65,59.83,263.03,146.05
2025-12-01,271.84,25.81,259.69,57.04,263.22,144.22
2026-01-02,272.65,26.69,270.14,58.2,264.05,150.4
