Date,US,EU,EM,Tech,EU HY,Me A Ee
2023-01-02,,,,,,
2023-02-01,0.03945662,0.08193669,0.12025658,0.10744337,0.03760650,
2023-03-01,-0.00005940,0.01147447,-0.04452293,0.00029223,-0.00023596,-0.01052421
2023-04-03,0.02215885,0.02495746,-0.01506581,0.03330412,-0.00509795,0.00729335
2023-05-01,0.00732303,0.01770891,-0.00227454,-0.03025163,0.00564596,0.01588898
2023-06-01,0.04229171,-0.01141925,0.02604582,0.07317784,0.00688809,-0.01979806
2023-07-03,0.03636867,0.03355336,0.05460201,0.02580820,0.00702839,0.04726318
2023-08-01,0.02515757,0.00266099,-0.00484568,0.02966102,0.00828215,0.04223722
2023-09-01,0.01167092,-0.02760085,-0.00762147,-0.00231481,0.00470697,-0.01674685
2023-10-02,-0.02157903,-0.03329694,0.01941333,-0.02217066,0.00349072,-0.01336219
2023-11-01,-0.00779029,-0.01016375,-0.01035890,-0.03717374,-0.00558404,-0.01783500
2023-12-01,0.04912467,0.08043354,0.07194967,0.11144578,0.03226549,0.02019810
2024-01-02,0.02032767,0.02534319,0.01375943,0.03892584,0.02715477,0.03045879
2024-02-01,0.06090792,0.03244078,-0.04232341,0.01707375,0.00703247,0.02004434
2024-03-01,0.06142850,0.05635910,0.01335975,0.05455817,0.00637986,0.02082767
2024-04-01,0.03195141,0.04060434,0.01829666,0.02498342,0.00038551,-0.00026612
2024-05-01,-0.02251791,-0.03130672,0.03347445,-0.03666954,-0.00051381,0.01472937
2024-06-03,0.03765271,0.03466042,0.01857674,0.03672190,0.01229491,-0.01687653
2024-07-01,0.04520035,-0.01448619,-0.01674149,0.05097192,0.00427423,0.04029174
2024-08-01,0.00848821,-0.03445108,0.00309141,-0.00924784,0.01226244,0.02231532
2024-09-02,-0.01671387,0.04471931,-0.02693092,0.00082970,0.01128133,-0.00367985
2024-10-01,0.01379310,-0.00273224,0.08785265,0.01222798,0.01296670,0.00025183
2024-11-01,0.04217687,-0.01278539,-0.04523874,0.02252252,0.00239759,0.00100705
2024-12-02,0.08405007,-0.00370028,0.00107900,0.06227473,0.00806746,0.04099598
2025-01-02,-0.01969327,0.01485608,-0.00524861,0.00150801,0.00788225,0.03913989
2025-02-03,0.00220400,0.06084172,0.02346069,0.01693958,0.00534674,0.02154538
2025-03-03,-0.02599322,0.06252695,0.05546605,-0.00999445,0.01504207,0.01320082
2025-04-01,-0.09342266,-0.03855519,0.00789359,-0.08057581,-0.01489736,-0.00097342
2025-05-01,-0.04568652,-0.02406079,-0.06213491,-0.03558357,-0.00011908,-0.04939289
2025-06-02,0.03730641,0.05103806,-0.01637832,0.04743833,0.01945139,0.02034219
2025-07-01,0.03299513,-0.01111111,0.04165103,0.04206924,0.00070091,0.01684568
2025-08-01,0.01904496,-0.02039118,0.04210195,0.00502221,0.00996148,0.03001748
2025-09-01,0.02425263,0.03483432,0.02808625,0.02517778,0.00396841,0.02508485
2025-10-01,0.01067248,0.04269294,0.02727693,0.06205474,0.00594827,0.04685476
2025-11-03,0.04591045,0.01811024,0.06231078,0.05613416,0.00343341,0.00412513
2025-12-01,-0.01628429,-0.00193349,0.00015405,-0.04663212,0.00072235,-0.01252996
2026-01-02,0.00297969,0.03409531,0.04024029,0.02033661,0.00315326,0.04285120
